,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Hawaii
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maryland
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,New Jersey
20,North Dakota
21,Ohio
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,South Dakota
27,Tennessee
28,Utah
29,Vermont
30,West Virginia
31,Wisconsin
32,Wyoming
